Measure Mode: wall_time
Thread ID: 70178587213840
Fiber ID: 70178579584640
Total: 15.947840
Sort by: self_time

 %self      total      self      wait     child     calls  name
 86.82     13.845    13.845     0.000     0.000     2028   Array#select
  6.26     15.862     0.999     0.000    14.863       10   Array#each
  3.62      0.578     0.577     0.000     0.001    13254   Array#all?
  0.76      0.121     0.121     0.000     0.000    26509   String#split
  0.59      0.231     0.094     0.000     0.137    22310   Array#map
  0.30      0.111     0.048     0.000     0.063    11226   <Class::Date>#parse
  0.28      0.088     0.045     0.000     0.043    11226   Object#parse_session
  0.17      0.027     0.027     0.000     0.000    22452   Regexp#match
  0.11      0.023     0.018     0.000     0.004     2028   Class#new
  0.11      0.037     0.018     0.000     0.019        1   JSON::Ext::Generator::GeneratorMethods::Hash#to_json
  0.09      0.014     0.014     0.000     0.000    31014   String#upcase
  0.09      0.021     0.014     0.000     0.006     4057   Array#sort
  0.09      0.014     0.014     0.000     0.000    33540   String#encode
  0.08      0.013     0.013     0.000     0.000    11226   String#gsub!
  0.08      0.012     0.012     0.000     0.000    14196   Hash#merge
  0.07      0.012     0.012     0.000     0.000    11226   MatchData#begin
  0.06      0.016     0.009     0.000     0.007     2028   Object#parse_user
  0.05      0.008     0.008     0.000     0.000    11226   Date#iso8601
  0.04      0.007     0.007     0.000     0.000    22452   String#to_i
  0.04      0.009     0.006     0.000     0.002     2028   Array#any?
  0.04      0.006     0.006     0.000     0.000    22904   Date#<=>
  0.03      0.006     0.006     0.000     0.000    11226   String#[]=
  0.03      0.004     0.004     0.000     0.000     2028   User#initialize
  0.03     13.850     0.004     0.000    13.845     2028   Object#select_session_for_user
  0.02      0.004     0.004     0.000     0.000    16228   String#to_s
  0.02      0.003     0.003     0.000     0.000    11226   Integer#div
  0.02      0.003     0.003     0.000     0.000     2029   Array#join
  0.02      0.003     0.003     0.000     0.000        1   <Class::IO>#write
  0.02      0.003     0.003     0.000     0.000    11226   MatchData#end
  0.01      0.002     0.002     0.000     0.000        1   Array#uniq
  0.01      0.002     0.002     0.000     0.000     4056   Integer#to_s
  0.01      0.002     0.002     0.000     0.000        1   <Class::IO>#read
  0.01      0.001     0.001     0.000     0.000     2030   Hash#keys
  0.01      0.001     0.001     0.000     0.000     2028   Array#reverse
  0.01      0.001     0.001     0.000     0.000     2028   Array#max
  0.00      0.001     0.001     0.000     0.000     2028   Array#sum
  0.00      0.001     0.001     0.000     0.000     2031   Array#count
  0.00     15.948     0.000     0.000    15.948        1   Object#work
  0.00      0.000     0.000     0.000     0.000        2   IO#write
  0.00     15.948     0.000     0.000    15.948        1   [global]#[no method]
  0.00      0.310     0.000     0.000     0.310        7   Object#collect_stats_from_users
  0.00      0.000     0.000     0.000     0.000        2   Kernel#puts
  0.00      1.045     0.000     0.000     1.045        1   Object#parse_file_lines
  0.00      0.000     0.000     0.000     0.000        2   IO#puts
  0.00      0.000     0.000     0.000     0.000        1   <Object::Object>#[]
  0.00      0.000     0.000     0.000     0.000        1   Kernel#dup
  0.00      0.000     0.000     0.000     0.000        1   <Module::GC>#disable
  0.00      0.000     0.000     0.000     0.000        1   Symbol#to_s
  0.00      0.000     0.000     0.000     0.000        1   JSON::Ext::Generator::State#initialize_copy
  0.00      0.000     0.000     0.000     0.000        1   Kernel#initialize_dup

* indicates recursively called methods
